id,category,top,ModelName,title,brand,price,color,description,photos
10,Graphic_Cards,designed for compact gaming builds,NVIDIA GeForce RTX 3060 Ti Graphics Card,ASUS NVIDIA GeForce RTX 3060 Ti V2 Mini LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,NVIDIA,499.99,Black,"The Dual GeForce RTX 3060 Ti MINI Graphics Card is designed for compact gaming builds and the Intel NUC 9. Features like the Axial-tech fan design, a custom 2-slot thermal solution, and Auto-Extreme Technology make the MINI an obvious choice for those who want an SFF system capable of rivalling the graphics performance of full-sized builds and burly desktops.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_319236_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_219236_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_219236_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641433_319236_03_front_zoom.jpg""]"
11,Graphic_Cards,the best alternative to greedy nvidia,AMD Radeon RX 6700 XT  Graphics Card,PowerColor AMD Radeon RX 6700 XT Fighter Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,AMD,429.99,Black,"Core Clock Speed :1280MHz
Boost Core Clock Speed:1620MHz
Video Memory: 6 GB
Memory Type: GDDR6
Memory Bus: 192-bit","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/635137_247940_04_package_zoom.jpg""]"
12,Processors,Encode faster. Render faster. Iterate faster.,AMD Ryzen 5 5600X,AMD Ryzen 5 5600X Vermeer 3.7GHz 6-Core AM4 Boxed Processor - Wraith Stealth Cooler Included,AMD,209.99,,"Get the high-speed gaming performance of the world's best desktop processor. Encode faster. Render faster. Iterate faster. Create more, faster with AMD Ryzen processor.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/630285_195073_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/630285_195073_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/630285_195073_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/630285_195073_04_package_zoom.jpg""]"
13,Processors,The ideal setup for streaming or media production,Intel Core i7-12700K,Intel Core i7-12700K Alder Lake 3.6GHz Twelve-Core LGA 1700 Boxed Processor - Heatsink Not Included,Intel,349.99,,"The 12th generation of Intel processors provides gamers with an ideal setup for streaming or media production, boasting industry-first PCIe 5.0 compatibility and notable DDR5 memory advancements. With speeds up to 4800 MT/s, DDR5 advancements also prove to be beneficial to memory bandwidth, as it too sees an increase in speed. The processor also features an integrated UHD Graphics 770 chip with 8K HDR support and the ability to view four simultaneous 4K displays. Using Gaussian & Neural Accelerator 3.0 (GNA) technology, noise suppression and background blurring are achieved more efficiently and effectively. A standout feature of this processor is the 12 cores unlocked for overclocking, which share 25MB of the L3 cache. The highest clock speed available for these processors is 5.0 GHz, while the base model sits at 3.6 GHz. Managed by the Intel Thread Director, the cores support the operating system to more intelligently channel workloads to the right core at the right time.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641917_326652_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641917_326652_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641917_326652_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/641917_326652_04_package_zoom.jpg""]"
14,Processors,Cheap and Great,Intel Core i3-10105,Intel Core i3-10105 Comet Lake 3.7GHz Quad-Core LGA 1200 Boxed Processor - Intel Stock Cooler Included,Intel,89.99,,"The Core i3-10105 3.7 GHz Quad-Core LGA 1200 Processor from Intel has a base clock speed of 3.7 GHz and comes with features such as Intel Optane Memory support, Intel Boot Guard, Intel VT-d virtualization technology for directed I/O, and Intel Hyper-Threading technology. With Intel Turbo Boost 2.0, the maximum turbo frequency this processor can achieve is 4.4 GHz. Additionally, this processor features 4 cores with 8 threads in an LGA 1200 socket, has 6MB of cache memory, and 16 PCIe lanes. Having 4 cores allows the processor to run multiple programs simultaneously without slowing down the system, while the 8 threads allow a basic ordered sequence of instructions to be passed through or processed by a single CPU core. This processor also supports 128GB of dual-channel 2666 MHz DDR4 RAM and utilizes 10th-generation technology.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/636181_261461_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/636181_261461_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/636181_261461_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/636181_261461_04_package_zoom.jpg""]"
15,Motherboards, build a formidable gaming rig that rises above the rest.,ASUS X570-E,ASUS X570-E ROG Strix Gaming WiFi II AMD AM4 ATX Motherboard,ASUS,379.99,,"The ROG Strix X570-E Gaming WiFi II motherboard delivers the quintessential ROG experience. It is bristling with features such as new passive chipset cooling, WiFi 6E, plus improved overclocking and audio performance, along with DIY-friendly conveniences to help seasoned builders and beginners alike. With futuristic aesthetics complemented by onboard RGB illumination, the Strix X570-E Gaming WiFi II motherboard has everything you need to build a formidable gaming rig that rises above the rest.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642838_332106_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642838_332106_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642838_332106_03_package_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642838_332106_03_package_zoom.jpg""]"
16,Motherboards,A robust power design,ASUS Z690-P Prime,ASUS Z690-P Prime WiFi DDR4 Intel LGA 1700 ATX Motherboard,ASUS,239.99,,"ASUS Prime series motherboards are expertly engineered to unleash the full potential of 12th Generation Intel processors. Boasting a robust power design, comprehensive cooling solutions and intelligent tuning options, Prime Z690-P WIFI D4 provides users and PC DIY builders a range of performance tuning options via intuitive software and firmware features.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/643440_336545_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/643440_336545_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/643440_336545_04_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/643440_336545_05_package_zoom.jpg""]"
17,Motherboards,"The best option whether you're a gamer, prosumer, and PC enthusiast.",MSI Z690 MPG ,MSI Z690 MPG Edge WiFi DDR4 Intel LGA 1700 ATX Motherboard,MSI,319.99,,"With years of experience, MSI is no stranger to building high-performance motherboards. Our R&D and engineering teams have reviewed countless designs, evaluated a wide selection of high quality components, and developed products for reliability even under extreme conditions. High performance MSI motherboards are loaded with advanced features and the latest technology to overwhelm any challenge at hand no matter whether you're a gamer, prosumer, and PC enthusiast.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642646_335802_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642646_335802_04_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642646_335802_05_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/642646_335802_06_package_zoom.jpg""]"
18,SSDs,inject new life into your laptop or desktop PC,Inland Professional 512GB SSD,Inland Professional 512GB SSD 3D TLC NAND SATA 3.0 6 GBps 2.5 Inch 7mm Internal Solid State Drive,Inland,47.99,,"Get SSD speeds and inject new life into your laptop or desktop PC with a solid state drive from Inland Professional. With a fast, reliable Inland Professional SSD, you will experience quicker bootup and shutdown, and quicker application response and data transfer speeds than with a typical hard disk drive without purchasing a new computer.

SSD Capacity 512GB
Ideal for mainstream PCs, laptops, and ultrabooks for personal, gaming, and business use
Sequential Read/Write Speed up to 520MB/s and 450MB/s respectively
Random Read/Write 4K: up to 60,000 and 55,000 IOPS respectively
SATA III 6Gb/s interface, faster bootup, shutdown, application loading, and file transfer
3D TLC NAND flash, resistant to shock, vibration, and movement - no overheating, no noise
Performance may vary based on system hardware and configuration","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/623042_103937_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/623042_103937_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/623042_103937_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/623042_103937_04_package_zoom.jpg""]"
19,SSDs,Unleash the power,Samsung 980 Pro SSD 2TB,Samsung 980 Pro SSD 2TB M.2 NVMe Interface PCIe Gen 4x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V8P2T0B/AM),Samsung,289.99,,"Unleash the power of the Samsung 980 PRO PCIe 4.0 NVMe SSD for next-level computing. 980 PRO delivers 2x the data transfer rate of PCIe 3.0, while maintaining compatibility with PCIe 3.0. Get read speeds up to 7,000 MB/s with 980 PRO and push the limits of what SSDs can do. Powered by a new Elpsis controller designed to harmonize the flash memory components and the interface for superior speed - with a PCIe 4.0 interface thats 2x faster than PCIe 3.0 SSDs and 12x faster than Samsung SATA SSDs - every component of this NVMe SSD is manufactured by Samsung for performance that lasts.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/633342_229948_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/633342_229948_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/633342_229948_03_package_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/633342_229948_03_package_zoom.jpg""]"
20,SSDs,the world's best selling SSD series,Samsung 870 EVO 1TB SSD,"Samsung 870 EVO 1TB SSD 3-bit MLC V-NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",Samsung,109.99,,"870 EVO is Samsung's latest model of the world's best selling SSD series, with the latest V-NAND technology and the new MKX controller. 870 EVO proves why the EVO series has been the favorite choice among general users by showing the best in class performance, committed reliability and convenient usage with a variety of features.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632085_216952_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632085_216952_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632085_216952_04_package_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632085_216952_05_package_zoom.jpg""]"
21,Memory,Light up your PC with mesmerizing dynamic multi-zone RGB lighting,Corsair VENGEANCE RGB PRO 16GB,Corsair VENGEANCE RGB PRO 16GB (2 x 8GB) DDR4-3600 PC4-28800 CL16 Dual Channel Desktop Memory Kit CMW16GX4M2D36K1 - Black,Corsair,96.99,Black,"CORSAIR VENGEANCE RGB PRO Series DDR4 memory lights up your PC with mesmerizing dynamic multi-zone RGB lighting, while delivering the best in DDR4 performance and stability. Every module boasts ten individually controlled RGB LEDs, while wire-free design makes installation simple. Take control with CORSAIR iCUE software and completely customize every modules lighting to match your system, or easily synchronize lighting across all your CORSAIR products with Light LINK. A custom designed PCB provides the highest signal quality for the best level of performance and stability on the latest AMD and Intel DDR4 motherboards, while specially screened ICs unlock superior overclocking.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632254_216556_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632254_216556_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632254_216556_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632254_216556_02_front_zoom.jpg""]"
22,Memory,Choose from four colors and outshine your competitors.,Corsair Vengeance LPX 32GB ,"Corsair Vengeance LPX 32GB (2 x 16GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit CMK32GX4M2E3200 - Black
4 NEW IN STOCK",Corsair,134.99,Black,"The VENGEANCE LPX DDR4 memory is designed for gamers and DIY enthusiasts seeking a compact performance memory solution. Equipped with an eight-layer PCB, highly-screened memory ICs, and efficient aluminum heat spreader, the VENGEANCE LPX DDR4 memory runs extremely fast on various motherboards and keeps high temperature at bay for superior overclocking headroom. Overclocking is safe and totally hassle-free, thanks to support for XMP 2.0. Choose from four colors and outshine your competitors.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/616299_046201_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/616299_046201_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/616299_046201_03_packaging_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/616299_046201_02_front_zoom.jpg""]"
23,Memory,Designed for complete protection and enhanced heat dissipation,TeamGroup T-FORCE VULCAN Z 64GB,TeamGroup T-FORCE VULCAN Z 64GB (2 x 32GB) DDR4-3200 PC4-25600 CL16 Dual Channel Desktop Memory Kit TLZGD464G3200H - Gray,TeamGroup,259.99,Gray,"Designed for complete protection and enhanced heat dissipation, the heat spreader is formed by punch press process with a 0.8mm thick, one-piece alloy aluminum to reinforce the body structure. In addition, the electrolytic anodizing process can enhance corrosion resistance and make it non-conductive. Moreover, the superconductive thermal adhesive can maintain gaming memory within operating temperatures.","[""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632930_226399_01_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632930_226399_02_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632930_226399_03_front_zoom.jpg"",""https:\/\/90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com\/632930_226399_04_package_zoom.jpg""]"
